locality,province,stars,name
Ceglie Messapica,BR,1,Al Fornello- da Ricci
Ostuni,BR,1,Cielo ( H la Sommità)
Marina di Gioiosa Jonica,RC,1,Gambero Rosso
Strongoli,KR,1,Dattilo
Vibo Valentia,VV,1,L'Approdo (H Cala del Porto)
Alghero,SS,1,Andreini
Portoscuso,CI,1,La Ghinghetta
Siddi,VS,1,S'Apposentu
Licata,AG,1,La Madia
Caltagirone,CL,1,Coria
Taormina,ME,1,Casa Grugno 
Taormina,ME,1,Bellevue ( H Metropole)
Taormina,ME,2,Principe Cerami (H San Domenico Palace)
Taormina- Lido di Spisone,ME,1,La Capinera
Palermo/Mondello,PA,1,Bye Bye Blues
Modica,RG,1,La Gazza Ladra (H Palazzo Failla)
Ragusa,RG,1,La Fenice (H Villa Carlotta)
Ragusa- Ibla,RG,2,Duomo
Ragusa- Ibla,RG,1,Locanda Don Serafino
San Marino,RSM,1,Righi alla Taverna
Spinetta Marengo,AL,1,La Fermata
Oviglio,AL,1,Donatella
Asti,AT,1,Gener Neuv
Canelli,AT,1,San Marco
Isola d'Asti,AT,1,Il Cascinalenuovo 
Tigliole,AT,1,Vittoria 
Pollone,BI,1,Il Patio 
Alba,CN,1,Locanda del Pilone 
Alba,CN,3,Piazza Duomo
Barolo,CN,1,Locanda nel Borgo Antico
Benevello,CN,1,Villa d'Amelia (H Villa d'Amelia)
Bra/Pollenzo,CN,1,Guido
Canale,CN,1,All'Enoteca
Cervere,CN,2,Antica Corona Reale- da Renzo
Cuneo,CN,1,Delle Antiche Contrade
Grinzane Cavour,CN,1,Al Castello
Mondovì,CN,1,Il Baluardo
Priocca d'Alba,CN,1,Il Centro
Santa Vittoria d'Alba,CN,1,Savino Mongelli
Santo Stefano Belbo,CN,1,Il Ristorante di Guido da Costigliole
Serralunga d'alba,CN,1,La Rei (H Boscareto Resort)
Treiso,CN,1,La Ciau del Tornavento
Invorio,NO,1,Pascia
Novara,NO,1,Tantris
Orta San Giulio,NO,2,Villa Crespi (H Villa Crespi)
Soriso,NO,2,Al Sorriso
Caluso,TO,1,Gardenia
Rivoli,TO,2,Combal.zero
S.Maurizio Canavese,TO,1,La Credenza
Torino,TO,1,Vo
Torino,TO,1,Magorabin
Torino,TO,1,La Barrique
Torino,TO,1,Casa Vicina - Guidopereataly
Torino,TO,1,Vintage 1997
Venaria Reale,TO,1,Dolce Stil Novo alla Reggia
Verbania/Fondotoce,VB,2,Piccolo Lago
Borgosesia,VC,1,Osteria del Borgo
Vercelli,VC,1,Cinzia da Christian e Manuel
Aosta,AO,1,Vecchio Ristoro
Cogne,AO,1,Le Petit Restaurant (H Bellevue)
Gignod,AO,1,La Clusaz
La Salle,AO,1,La Cassolette ( H Mont Blanc )
Morgex,AO,1,Cafè Quinson
Genova/Sestri Ponente,GE,1,Baldin
Nervi,GE,1,The Cook
Arma di Taggia,IM,1,La Conchiglia
Cervo,IM,1,San Giorgio
Imperia / Oneglia,IM,1,Agrodolce
Sanremo,IM,1,Paolo e Barbara
Ameglia,SP,1,Locanda delle Tamerici
Alassio,SV,1,Palma
Bergeggi,SV,1,Claudio
Noli,SV,1,Il Vescovado-La Fornace di Barbablù 
Savona,SV,1,L'Arco Antico
Almé,BG,1,Frosio 
Ambivere,BG,1,Antica Osteria dei Camelì
Bergamo,BG,1,L'Osteria di Via Solata
Bergamo,BG,1,Roof Garden (H San Marco)
Brusaporto,BG,3,Da Vittorio
Chiuduno,BG,1,A' anteprima 
Grumello del Monte,BG,1,Al Vigneto
Trescore Balneario,BG,1,LoRo
Treviglio,BG,1,San Martino
Villa D'Almé,BG,1,Osteria della Brughiera
Calvisano,BS,1,Gambero
Castrezzato,BS,1,Da Nadia
Concesio,BS,2,Miramonti L'Altro
Corte Franca/Borgonato,BS,1,Due Colombe
Desenzano del Garda,BS,1,Esplanade
Gardone Riviera,BS,1,Villa Fiordaliso
Gargnano,BS,1,Villa Feltrinelli (G.H. Villa Feltrinelli)
Gargnano,BS,1,La Tortuga
Manerba del Garda,BS,1,Capriccio
Pralboino,BS,1,Leon D'Oro
Sirmione,BS,1,La Rucola
Albavilla,CO,1,Il Cantuccio
Bellagio,CO,1,Mistral (G.H. Villa Serbelloni)
Campione d'Italia,CO,1,Da Candida
Como,CO,1,I Tigli…a lago 
Pellio Intelvi,CO,1,La Locanda del Notaio
Trescore Cremasco,CR,1,Trattoria del Fulmine
Lecco,LC,1,Al Porticciolo 84
Viganò,LC,1,Pierino Penati
Seregno,MB,1,Pomiroeu
Cavenago di Brianza,MI,1,Devero Ristorante (H Devero)
Cornaredo/SanPietro all'Olmo,MI,1,D'O
Milano,MI,1,Joia
Milano,MI,1,Innocenti Evasioni
Milano,MI,1,Tano Passami l'Olio
Milano,MI,2,Cracco
Milano,MI,2,Sadler
Milano,MI,2,Il luogo di Aimo e Nadia 
Milano,MI,1,Trussardi alla Scala
Milano,MI,1,Unico
Milano,MI,1,Alice
Milano,MI,1,Al Pont de Ferr
Milano,MI,1,Vun
Canneto sull'Oglio/Runate MN,3,Dal Pescatore
Castiglione delle Stiviere,MN,1,Osteria da Pietro
Mantova,MN,1,Aquila Nigra
Quistello,MN,1,Ambasciata
Certosa di Pavia,PV,1,Locanda Vecchia Pavia “Al Mulino”
Vigevano,PV,1,I Castagni
Aprica,SO,1,Gimmy's
Livigno,SO,1,Chalet Mattias
Madesimo,SO,1,Il Cantinone e Sport Hotel Alpina
Villa di Chiavenna,SO,1,Lanterna Verde
